,date,open,close,high,low,volume,code
0,2015-12-03,2622.49,2708.12,2710.81,2622.49,17065282.0,399006
1,2015-12-04,2702.56,2692.16,2749.18,2679.35,17844633.0,399006
2,2015-12-07,2699.34,2738.15,2751.24,2687.02,16420046.0,399006
3,2015-12-08,2723.62,2691.66,2731.72,2678.66,18705171.0,399006
4,2015-12-09,2677.59,2667.91,2699.64,2650.45,16154545.0,399006
5,2015-12-10,2665.27,2695.51,2729.24,2663.37,16327733.0,399006
6,2015-12-11,2686.3,2671.29,2701.69,2666.89,13643432.0,399006
7,2015-12-14,2642.82,2709.26,2709.26,2622.47,13383006.0,399006
8,2015-12-15,2718.25,2745.7,2764.79,2718.25,14459220.0,399006
9,2015-12-16,2760.26,2763.11,2789.28,2749.79,15083848.0,399006
10,2015-12-17,2784.97,2835.7,2835.7,2784.97,20055959.0,399006
11,2015-12-18,2836.92,2830.26,2850.69,2801.64,17824894.0,399006
12,2015-12-21,2825.31,2829.92,2836.61,2800.35,14937293.0,399006
13,2015-12-22,2836.96,2839.85,2849.36,2811.61,13134517.0,399006
14,2015-12-23,2845.43,2783.94,2848.83,2779.93,16247176.0,399006
15,2015-12-24,2775.98,2795.78,2801.56,2735.97,13241041.0,399006
16,2015-12-25,2807.51,2794.73,2820.53,2777.46,12162058.0,399006
17,2015-12-28,2809.52,2735.49,2823.75,2735.49,15497676.0,399006
18,2015-12-29,2732.55,2749.82,2749.82,2710.2,12769369.0,399006
19,2015-12-30,2758.25,2779.51,2781.84,2749.29,13512855.0,399006
20,2015-12-31,2780.54,2714.05,2785.66,2713.69,12958631.0,399006
21,2016-01-04,2706.27,2491.27,2710.3,2490.47,12240174.0,399006
22,2016-01-05,2353.23,2416.73,2481.2,2333.61,18289330.0,399006
23,2016-01-06,2433.36,2468.37,2472.19,2388.69,14194459.0,399006
24,2016-01-07,2415.33,2256.52,2415.33,2254.5,3875525.0,399006
25,2016-01-08,2297.59,2248.99,2318.12,2142.33,16502293.0,399006
26,2016-01-11,2188.19,2106.36,2230.42,2105.77,15208926.0,399006
27,2016-01-12,2117.25,2147.53,2179.09,2087.27,14396596.0,399006
28,2016-01-13,2160.32,2059.78,2174.23,2059.78,12465368.0,399006
29,2016-01-14,1991.23,2175.01,2179.38,1989.86,15648666.0,399006
30,2016-01-15,2160.17,2112.9,2184.56,2096.19,15910294.0,399006
31,2016-01-18,2074.86,2174.93,2206.83,2074.86,16267626.0,399006
32,2016-01-19,2170.09,2241.7,2244.78,2148.72,17700322.0,399006
33,2016-01-20,2222.6,2204.65,2249.35,2190.5,15451188.0,399006
34,2016-01-21,2173.31,2112.4,2241.47,2112.4,14945202.0,399006
35,2016-01-22,2140.28,2149.59,2161.24,2078.12,13609891.0,399006
36,2016-01-25,2165.73,2158.82,2185.21,2136.88,11334177.0,399006
37,2016-01-26,2132.22,1994.05,2135.56,1990.51,13385707.0,399006
38,2016-01-27,1997.32,1997.46,2012.3,1888.25,15926521.0,399006
39,2016-01-28,1969.31,1906.46,1990.92,1900.88,11454203.0,399006
40,2016-01-29,1908.26,1994.06,2011.06,1907.29,12809874.0,399006
41,2016-02-01,1989.21,1992.69,2011.68,1956.92,11156089.0,399006
42,2016-02-02,1996.59,2075.29,2089.21,1996.59,13287649.0,399006
43,2016-02-03,2049.32,2090.51,2105.38,2034.6,12089846.0,399006
44,2016-02-04,2095.62,2126.64,2142.87,2095.62,13143008.0,399006
45,2016-02-05,2127.35,2096.99,2141.56,2096.99,9064702.0,399006
46,2016-02-15,2029.56,2116.84,2130.36,2029.56,10100667.0,399006
47,2016-02-16,2128.06,2201.93,2208.57,2128.06,13912171.0,399006
48,2016-02-17,2197.93,2215.34,2219.78,2171.0,14618497.0,399006
49,2016-02-18,2230.8,2190.91,2239.91,2188.19,14019500.0,399006
50,2016-02-19,2186.01,2211.01,2230.22,2182.96,13407241.0,399006
51,2016-02-22,2235.17,2245.56,2245.56,2216.16,15090614.0,399006
52,2016-02-23,2245.75,2218.12,2249.69,2189.53,13926609.0,399006
53,2016-02-24,2212.59,2203.74,2230.01,2154.27,12884021.0,399006
54,2016-02-25,2198.93,2037.14,2198.93,2030.42,15298955.0,399006
55,2016-02-26,2045.51,2014.92,2057.8,1980.17,12366693.0,399006
56,2016-02-29,2000.57,1880.15,2000.57,1866.25,13247568.0,399006
57,2016-03-01,1881.32,1934.92,1952.43,1841.22,13456661.0,399006
58,2016-03-02,1930.84,2017.6,2022.86,1925.02,16949154.0,399006
59,2016-03-03,2014.18,2007.08,2063.53,2006.71,16805473.0,399006
60,2016-03-04,1994.06,1907.04,2003.69,1895.4,15220975.0,399006
