,date,open,close,high,low,volume,code
40,2016-02-02,100.004,100.001,100.004,99.998,947746.0,511990
41,2016-02-03,100.001,100.007,100.008,99.999,597250.0,511990
42,2016-02-04,100.007,100.05,100.06,100.0,957095.0,511990
43,2016-02-05,100.041,100.085,100.089,100.041,1087281.0,511990
44,2016-02-15,100.0,100.01,100.011,99.996,822224.0,511990
45,2016-02-16,100.003,100.006,100.011,100.0,897876.0,511990
46,2016-02-17,100.002,100.007,100.011,99.999,734309.0,511990
47,2016-02-18,100.003,100.014,100.015,100.002,643696.0,511990
48,2016-02-19,100.012,100.016,100.023,100.012,865308.0,511990
49,2016-02-22,100.005,100.002,100.008,99.998,1339037.0,511990
50,2016-02-23,100.002,100.005,100.009,100.001,869669.0,511990
51,2016-02-24,100.003,99.997,100.007,99.993,1306795.0,511990
52,2016-02-25,99.999,99.989,99.999,99.979,1506246.0,511990
53,2016-02-26,99.998,100.004,100.007,99.994,1194567.0,511990
54,2016-02-29,99.999,100.003,100.004,99.99,808097.0,511990
55,2016-03-01,99.999,100.008,100.01,99.998,799600.0,511990
56,2016-03-02,100.003,100.007,100.007,99.999,1147201.0,511990
57,2016-03-03,99.99,100.012,100.014,99.99,1338372.0,511990
58,2016-03-04,100.012,100.019,100.024,100.007,1089814.0,511990
59,2016-03-07,100.003,100.015,100.016,100.0,1128584.0,511990
60,2016-03-08,100.008,100.011,100.015,100.006,1482563.0,511990
61,2016-03-09,100.009,100.013,100.015,100.008,1158570.0,511990
62,2016-03-10,100.012,100.018,100.019,100.01,922273.0,511990
63,2016-03-11,100.021,100.02,100.027,100.013,1064859.0,511990
64,2016-03-14,100.007,100.009,100.011,100.002,1526971.0,511990
65,2016-03-15,100.008,100.008,100.009,100.003,781899.0,511990
66,2016-03-16,100.003,100.008,100.009,100.001,1089346.0,511990
67,2016-03-17,100.007,99.989,100.008,99.984,1616398.0,511990
68,2016-03-18,99.992,99.995,100.003,99.981,1818581.0,511990
69,2016-03-21,99.98,99.982,99.99,99.951,1727822.0,511990
70,2016-03-22,99.984,99.992,99.996,99.979,1458539.0,511990
71,2016-03-23,99.996,99.999,100.001,99.992,1898151.0,511990
72,2016-03-24,99.998,100.002,100.004,99.995,2008257.0,511990
73,2016-03-25,100.007,100.007,100.013,100.0,1432529.0,511990
74,2016-03-28,99.999,99.992,100.0,99.988,1479844.0,511990
75,2016-03-29,99.992,99.993,99.995,99.985,1644208.0,511990
76,2016-03-30,99.988,99.978,99.993,99.97,1798578.0,511990
77,2016-03-31,99.98,99.993,100.001,99.971,2538468.0,511990
78,2016-04-01,100.011,100.014,100.018,100.004,900411.0,511990
79,2016-04-05,99.994,100.009,100.011,99.991,1356810.0,511990
80,2016-04-06,100.001,100.007,100.009,99.998,891919.0,511990
81,2016-04-07,99.996,100.005,100.009,99.996,855606.0,511990
82,2016-04-08,100.008,100.021,100.022,100.008,1085420.0,511990
83,2016-04-11,100.001,100.0,100.003,99.998,855093.0,511990
84,2016-04-12,99.999,99.999,100.0,99.992,911543.0,511990
85,2016-04-13,99.996,99.996,100.001,99.989,1359026.0,511990
86,2016-04-14,99.994,99.988,99.994,99.984,1138691.0,511990
87,2016-04-15,99.996,100.006,100.012,99.994,1230868.0,511990
88,2016-04-18,99.997,100.0,100.005,99.994,738514.0,511990
89,2016-04-19,99.998,100.001,100.003,99.998,701096.0,511990
90,2016-04-20,99.999,100.004,100.006,99.991,1079511.0,511990
91,2016-04-21,99.999,100.006,100.007,99.997,903503.0,511990
92,2016-04-22,100.01,100.008,100.02,100.005,815471.0,511990
93,2016-04-25,100.0,99.992,100.0,99.988,1475803.0,511990
94,2016-04-26,99.994,99.992,99.998,99.99,697083.0,511990
95,2016-04-27,99.991,99.995,99.998,99.99,1010693.0,511990
96,2016-04-28,99.995,100.008,100.009,99.994,1180816.0,511990
97,2016-04-29,100.016,100.013,100.018,100.007,1121275.0,511990
98,2016-05-03,99.995,99.996,99.999,99.99,949282.0,511990
99,2016-05-04,99.995,100.0,100.001,99.992,910896.0,511990
100,2016-05-05,99.999,100.005,100.006,99.996,800451.0,511990
101,2016-05-06,100.007,100.012,100.014,100.007,861121.0,511990
102,2016-05-09,99.997,100.008,100.008,99.996,759933.0,511990
103,2016-05-10,100.003,100.006,100.008,99.999,647487.0,511990
104,2016-05-11,100.006,100.008,100.01,100.004,686603.0,511990
105,2016-05-12,100.007,100.006,100.009,100.001,712092.0,511990
106,2016-05-13,100.011,100.011,100.012,100.004,746005.0,511990
107,2016-05-16,99.999,100.007,100.009,99.998,849526.0,511990
108,2016-05-17,100.003,100.006,100.008,100.002,507878.0,511990
109,2016-05-18,100.005,100.006,100.009,100.003,682681.0,511990
110,2016-05-19,100.005,100.007,100.009,100.004,787615.0,511990
111,2016-05-20,100.009,100.0,100.01,99.998,870675.0,511990
112,2016-05-23,99.997,100.002,100.004,99.994,1027805.0,511990
113,2016-05-24,100.001,100.006,100.008,100.001,690612.0,511990
114,2016-05-25,100.003,100.004,100.004,99.999,1145634.0,511990
115,2016-05-26,100.002,100.0,100.006,99.999,749764.0,511990
116,2016-05-27,100.006,100.002,100.008,100.0,1250706.0,511990
117,2016-05-30,99.998,99.999,100.0,99.997,1000766.0,511990
118,2016-05-31,99.998,100.0,100.0,99.981,1413070.0,511990
119,2016-06-01,99.99,99.994,99.998,99.983,1079881.0,511990
120,2016-06-02,99.991,99.996,99.997,99.99,769959.0,511990
121,2016-06-03,99.995,100.002,100.002,99.994,954524.0,511990
122,2016-06-06,99.99,99.999,100.0,99.985,1203627.0,511990
123,2016-06-07,99.999,99.996,100.0,99.988,1044529.0,511990
124,2016-06-08,100.008,100.021,100.022,100.007,1147696.0,511990
125,2016-06-13,99.996,99.995,100.0,99.991,953156.0,511990
126,2016-06-14,99.996,99.994,99.999,99.991,894965.0,511990
127,2016-06-15,99.994,99.994,99.997,99.988,993908.0,511990
128,2016-06-16,99.99,99.994,99.998,99.988,967904.0,511990
129,2016-06-17,100.001,100.003,100.005,99.997,1093362.0,511990
130,2016-06-20,99.993,99.991,99.995,99.989,1121358.0,511990
131,2016-06-21,99.991,99.989,99.993,99.975,1012015.0,511990
132,2016-06-22,99.991,99.992,99.994,99.987,797319.0,511990
133,2016-06-23,99.99,99.99,99.991,99.982,782488.0,511990
134,2016-06-24,99.995,99.997,100.001,99.989,1026293.0,511990
135,2016-06-27,99.984,99.972,99.988,99.958,1124278.0,511990
136,2016-06-28,99.97,99.977,99.978,99.955,1092379.0,511990
137,2016-06-29,99.971,99.963,99.973,99.955,1048342.0,511990
138,2016-06-30,99.963,99.994,99.995,99.958,878046.0,511990
139,2016-07-01,100.001,100.004,100.007,99.999,806442.0,511990
140,2016-07-04,99.993,99.988,99.995,99.984,807698.0,511990
141,2016-07-05,99.987,99.995,99.997,99.984,812158.0,511990
142,2016-07-06,99.991,100.001,100.004,99.988,716774.0,511990
143,2016-07-07,99.995,100.0,100.002,99.995,797896.0,511990
144,2016-07-08,100.005,100.02,100.024,100.003,673131.0,511990
145,2016-07-11,99.996,100.005,100.007,99.996,678232.0,511990
146,2016-07-12,100.001,99.999,100.002,99.997,650688.0,511990
147,2016-07-13,99.993,99.999,100.0,99.992,737977.0,511990
148,2016-07-14,99.998,100.005,100.006,99.995,544692.0,511990
149,2016-07-15,100.007,100.006,100.011,100.004,849621.0,511990
150,2016-07-18,99.995,100.002,100.006,99.995,702695.0,511990
151,2016-07-19,100.0,100.006,100.007,99.999,429217.0,511990
152,2016-07-20,100.003,100.003,100.004,100.0,593283.0,511990
153,2016-07-21,100.002,99.998,100.002,99.996,693625.0,511990
154,2016-07-22,100.006,100.004,100.007,100.0,710343.0,511990
155,2016-07-25,99.997,99.999,100.0,99.995,638488.0,511990
156,2016-07-26,99.998,99.991,99.998,99.987,589497.0,511990
157,2016-07-27,99.99,99.998,99.999,99.989,679624.0,511990
158,2016-07-28,99.995,100.003,100.006,99.993,687847.0,511990
159,2016-07-29,100.006,100.013,100.014,100.004,711472.0,511990
160,2016-08-01,100.001,100.001,100.003,99.995,703696.0,511990
161,2016-08-02,99.999,100.002,100.003,99.997,396929.0,511990
162,2016-08-03,100.0,100.006,100.007,100.0,497315.0,511990
163,2016-08-04,100.002,100.005,100.012,100.001,480784.0,511990
164,2016-08-05,100.008,100.014,100.017,100.008,510393.0,511990
165,2016-08-08,100.003,100.007,100.01,100.0,600266.0,511990
166,2016-08-09,100.004,100.004,100.006,100.002,617616.0,511990
167,2016-08-10,100.002,100.005,100.006,100.0,583652.0,511990
168,2016-08-11,100.004,100.003,100.006,99.999,724865.0,511990
169,2016-08-12,100.006,100.004,100.01,100.001,611143.0,511990
170,2016-08-15,99.997,99.992,99.997,99.985,1044526.0,511990
171,2016-08-16,99.989,99.99,99.996,99.984,791798.0,511990
172,2016-08-17,99.993,99.995,99.997,99.991,608352.0,511990
173,2016-08-18,99.993,99.994,100.002,99.986,706329.0,511990
