,date,open,close,high,low,volume,code
0,2015-12-03,2441.91,2461.45,2481.54,2422.56,81744001.0,sz50
1,2015-12-04,2438.39,2397.56,2442.25,2392.88,47838541.0,sz50
2,2015-12-07,2398.09,2395.58,2404.91,2379.55,29174395.0,sz50
3,2015-12-08,2381.68,2364.34,2386.28,2356.93,33813694.0,sz50
4,2015-12-09,2357.88,2369.74,2386.28,2356.94,28420592.0,sz50
5,2015-12-10,2369.59,2357.21,2402.69,2353.22,31997618.0,sz50
6,2015-12-11,2346.86,2342.45,2357.08,2324.62,31590449.0,sz50
7,2015-12-14,2319.2,2414.92,2418.56,2316.9,47486653.0,sz50
8,2015-12-15,2408.15,2383.83,2410.09,2377.07,34608353.0,sz50
9,2015-12-16,2389.25,2376.53,2394.17,2371.43,28490923.0,sz50
10,2015-12-17,2391.4,2408.32,2424.9,2386.09,44035118.0,sz50
11,2015-12-18,2405.86,2422.83,2466.35,2404.15,53967334.0,sz50
12,2015-12-21,2415.63,2500.06,2513.49,2414.84,73671087.0,sz50
13,2015-12-22,2499.66,2496.05,2506.87,2477.67,51248803.0,sz50
14,2015-12-23,2497.37,2503.06,2550.9,2492.43,68188855.0,sz50
15,2015-12-24,2498.77,2481.75,2505.7,2451.45,48303842.0,sz50
16,2015-12-25,2483.66,2492.34,2496.84,2474.33,29623024.0,sz50
17,2015-12-28,2498.78,2411.41,2502.33,2411.21,48200591.0,sz50
18,2015-12-29,2408.93,2432.88,2435.62,2405.17,27597306.0,sz50
19,2015-12-30,2432.18,2432.77,2434.52,2399.92,28420662.0,sz50
20,2015-12-31,2426.81,2420.8,2437.72,2409.76,29972722.0,sz50
21,2016-01-04,2417.02,2271.37,2417.02,2269.97,34620851.0,sz50
22,2016-01-05,2230.08,2288.11,2309.59,2223.05,48075962.0,sz50
23,2016-01-06,2284.92,2317.65,2321.17,2274.47,38088820.0,sz50
24,2016-01-07,2281.88,2180.59,2281.93,2171.32,11081575.0,sz50
25,2016-01-08,2225.48,2219.61,2257.41,2154.58,51525931.0,sz50
26,2016-01-11,2182.85,2120.23,2202.32,2119.7,48483505.0,sz50
27,2016-01-12,2135.94,2131.37,2151.4,2115.36,35144374.0,sz50
28,2016-01-13,2152.72,2105.51,2157.51,2104.93,32024944.0,sz50
29,2016-01-14,2056.41,2132.08,2136.06,2052.3,36630965.0,sz50
30,2016-01-15,2119.56,2070.93,2128.95,2058.7,34641623.0,sz50
31,2016-01-18,2040.41,2069.27,2092.4,2039.05,26806095.0,sz50
32,2016-01-19,2075.19,2128.57,2135.36,2060.28,37222168.0,sz50
33,2016-01-20,2115.13,2088.72,2124.15,2076.16,39221145.0,sz50
34,2016-01-21,2069.39,2040.98,2112.73,2040.53,34354515.0,sz50
35,2016-01-22,2062.63,2061.96,2074.17,2026.27,27065196.0,sz50
36,2016-01-25,2067.56,2065.44,2074.9,2049.25,21741074.0,sz50
37,2016-01-26,2046.04,1951.61,2050.45,1944.91,37751437.0,sz50
38,2016-01-27,1961.4,1953.46,1972.16,1908.04,39302664.0,sz50
39,2016-01-28,1943.83,1912.72,1960.95,1900.35,29716553.0,sz50
40,2016-01-29,1915.13,1973.01,1986.72,1914.4,38242877.0,sz50
41,2016-02-01,1970.21,1937.07,1973.1,1917.24,27335160.0,sz50
42,2016-02-02,1935.22,1969.62,1978.29,1934.91,26156540.0,sz50
43,2016-02-03,1947.83,1952.37,1955.09,1929.81,21970080.0,sz50
44,2016-02-04,1962.87,1974.24,1983.25,1960.13,25020305.0,sz50
45,2016-02-05,1970.69,1967.26,1979.39,1962.23,20455795.0,sz50
46,2016-02-15,1916.42,1948.28,1958.22,1914.49,18893231.0,sz50
47,2016-02-16,1957.91,2000.9,2005.42,1957.54,30607291.0,sz50
48,2016-02-17,1997.68,2014.44,2020.08,1993.89,34373548.0,sz50
49,2016-02-18,2022.55,2009.27,2034.16,2007.22,30938607.0,sz50
50,2016-02-19,2005.41,2004.11,2013.78,1993.05,21639290.0,sz50
51,2016-02-22,2025.18,2053.86,2064.61,2016.36,39059284.0,sz50
52,2016-02-23,2051.57,2029.52,2051.57,2013.98,26876191.0,sz50
53,2016-02-24,2020.59,2041.39,2041.88,2009.35,26228917.0,sz50
54,2016-02-25,2038.16,1932.6,2038.18,1925.2,42459563.0,sz50
55,2016-02-26,1946.96,1955.4,1965.91,1930.0,26306764.0,sz50
56,2016-02-29,1951.68,1944.61,1953.32,1891.1,39161583.0,sz50
57,2016-03-01,1944.56,1973.19,1988.57,1931.98,29595859.0,sz50
58,2016-03-02,1980.46,2043.41,2045.82,1979.17,50978802.0,sz50
59,2016-03-03,2043.37,2053.27,2057.16,2031.54,45476671.0,sz50
60,2016-03-04,2045.12,2122.27,2128.57,2040.08,85953126.0,sz50
61,2016-03-07,2122.55,2107.67,2133.56,2097.78,40058732.0,sz50
62,2016-03-08,2102.25,2115.16,2118.04,2037.29,39003355.0,sz50
63,2016-03-09,2073.27,2111.92,2112.86,2053.84,38083290.0,sz50
64,2016-03-10,2089.86,2061.45,2102.99,2060.06,20872981.0,sz50
65,2016-03-11,2043.25,2070.72,2071.09,2039.59,24443461.0,sz50
66,2016-03-14,2079.91,2078.41,2117.83,2071.12,35114617.0,sz50
67,2016-03-15,2077.51,2101.12,2105.04,2055.32,34647131.0,sz50
68,2016-03-16,2087.28,2136.13,2142.16,2084.77,60381577.0,sz50
69,2016-03-17,2135.06,2131.48,2156.89,2113.44,38077902.0,sz50
70,2016-03-18,2140.27,2141.18,2165.15,2131.38,62257624.0,sz50
